model,model_group,params_b,label,count,mean_instruction_mass_mean,mean_instruction_mass_std,mean_instruction_mass_median,mean_data_mass_mean,mean_data_mass_std,mean_data_mass_median,mean_ratio_mean,mean_ratio_std,mean_ratio_median,mean_normalized_instruction_ratio_mean,mean_normalized_instruction_ratio_std,mean_normalized_instruction_ratio_median,mean_entropy_mean,mean_entropy_std,mean_entropy_median
gemma-2-9b-it-attn,Gemma 2,9.0,0,56,0.05097084113263658,0.011566692080405208,0.04790935479104519,0.12134924797075135,0.05357328199971616,0.12457505241036415,0.32467300577887465,0.13191686171093592,0.2877269834280014,0.32467300577887465,0.13191686171093592,0.2877269834280014,0.587827035358974,0.022426765609649162,0.5914959609508514
gemma-2-9b-it-attn,Gemma 2,9.0,1,60,0.0265026789624244,0.010540864775729493,0.02616892848163843,0.21314176407953103,0.041927491726327634,0.22190650552511215,0.13721055804441373,0.06556563104179344,0.13319577276706696,0.13721055804441373,0.06556563104179344,0.13319577276706696,0.561275806526343,0.03591053339805862,0.5665110945701599
gemma-2-27b-it-attn,Gemma 2,27.0,0,56,0.03807936003431678,0.010074724684908309,0.03464869596064091,0.08266080556703466,0.03593660618987998,0.08435994759202003,0.32980601995119024,0.1327905964600419,0.29258984327316284,0.32980601995119024,0.1327905964600419,0.29258984327316284,0.5149315223097801,0.02474082877508395,0.5196943283081055
gemma-2-27b-it-attn,Gemma 2,27.0,1,60,0.019810780603438615,0.009474161901071637,0.01946928258985281,0.15251690112054347,0.03307180398918204,0.15733656287193298,0.14011188242584466,0.06865232259485883,0.13336514681577682,0.14011188242584466,0.06865232259485883,0.13336514681577682,0.4750877017776171,0.03751047999601648,0.48289954662323
gemma-3-4b-it-attn,Gemma 3,4.0,0,56,0.031237696696605,0.011371447089570335,0.026448064483702183,0.0979692644905299,0.03890104319942564,0.10298117622733116,0.26880225552512066,0.1248342363483789,0.21715877950191498,0.26880225552512066,0.1248342363483789,0.21715877950191498,0.5735187429402556,0.0324289910197566,0.5767309069633484
gemma-3-4b-it-attn,Gemma 3,4.0,1,60,0.019520756291846433,0.008415505418785638,0.018606746569275856,0.1808269400149584,0.04389101809193329,0.18451948463916779,0.11654217553635439,0.05687387795194389,0.1093343161046505,0.11654217553635439,0.05687387795194389,0.1093343161046505,0.546778388818105,0.04081428766493219,0.5472891330718994
gemma-3-12b-it-attn,Gemma 3,12.0,0,56,0.031053880728515133,0.007676915527723389,0.02906024642288685,0.08097980730235577,0.034915273581391425,0.08060818165540695,0.2826922464051417,0.11678328862235308,0.25106897950172424,0.2826922464051417,0.11678328862235308,0.25106897950172424,0.49907499498554636,0.02571060281156519,0.5021158456802368
gemma-3-12b-it-attn,Gemma 3,12.0,1,60,0.018283331006144484,0.006914114862206406,0.016926483251154423,0.1511544965207577,0.03564386568919762,0.15050051361322403,0.12259992808103562,0.054940573603412944,0.11721406131982803,0.12259992808103562,0.054940573603412944,0.11721406131982803,0.4737256531914075,0.03273175461216811,0.4753190726041794
gemma-3-27b-it-attn,Gemma 3,27.0,0,56,0.04290483599262578,0.005470602583808063,0.04324457421898842,0.0640044266557587,0.026966354564251657,0.06170513294637203,0.3348618426493236,0.1046404209416197,0.32059115171432495,0.3348618426493236,0.1046404209416197,0.32059115171432495,0.4444778066660677,0.0243394586757519,0.4500984400510788
gemma-3-27b-it-attn,Gemma 3,27.0,1,60,0.02703430512920022,0.007955893388343077,0.026726948097348213,0.12495521238694589,0.03462352844731924,0.12026049569249153,0.16197072118520736,0.06683916752884393,0.15363094955682755,0.16197072118520736,0.06683916752884393,0.15363094955682755,0.4175577958424886,0.028712372363204796,0.4191043972969055
