model,model_group,params_b,depth_bin,depth_start,depth_end,heads_in_bin,selected_heads,selected_density,margin_mean_all,margin_mean_selected
gemma-2-9b-it-attn,Gemma 2,9.0,0,0.0,0.1,80,0,0.0,-0.029635882473192265,
gemma-2-9b-it-attn,Gemma 2,9.0,1,0.1,0.2,64,0,0.0,-0.006164681468133395,
gemma-2-9b-it-attn,Gemma 2,9.0,2,0.2,0.3,64,4,0.0625,0.05290474325910123,0.4390349255239127
gemma-2-9b-it-attn,Gemma 2,9.0,3,0.3,0.4,64,5,0.078125,0.1079513459307493,0.5246935180399359
gemma-2-9b-it-attn,Gemma 2,9.0,4,0.4,0.5,64,4,0.0625,0.14205640115541884,0.4601046537723632
gemma-2-9b-it-attn,Gemma 2,9.0,5,0.5,0.6,64,7,0.109375,0.15412708294935235,0.37848614326918645
gemma-2-9b-it-attn,Gemma 2,9.0,6,0.6,0.7,64,3,0.046875,0.1286013896667807,0.341617144116317
gemma-2-9b-it-attn,Gemma 2,9.0,7,0.7,0.8,64,1,0.015625,0.11855749109451444,0.3897773003427456
gemma-2-9b-it-attn,Gemma 2,9.0,8,0.8,0.9,64,0,0.0,0.0705178347030583,
gemma-2-9b-it-attn,Gemma 2,9.0,9,0.9,1.0,80,0,0.0,0.0069599068835230855,
gemma-2-27b-it-attn,Gemma 2,27.0,0,0.0,0.1,160,0,0.0,-0.04250382741869505,
gemma-2-27b-it-attn,Gemma 2,27.0,1,0.1,0.2,128,1,0.0078125,-0.03774692298557385,0.6645889560248437
gemma-2-27b-it-attn,Gemma 2,27.0,2,0.2,0.3,160,7,0.04375,0.03660917401206734,0.5842816242328887
gemma-2-27b-it-attn,Gemma 2,27.0,3,0.3,0.4,128,17,0.1328125,0.10447587782511315,0.44594582807514493
gemma-2-27b-it-attn,Gemma 2,27.0,4,0.4,0.5,160,21,0.13125,0.16786214770925265,0.4506013889460424
gemma-2-27b-it-attn,Gemma 2,27.0,5,0.5,0.6,128,5,0.0390625,0.1041390043485873,0.3760738966703648
gemma-2-27b-it-attn,Gemma 2,27.0,6,0.6,0.7,160,2,0.0125,0.06187052838668265,0.573839015074154
gemma-2-27b-it-attn,Gemma 2,27.0,7,0.7,0.8,128,0,0.0,-0.0016412050292127656,
gemma-2-27b-it-attn,Gemma 2,27.0,8,0.8,0.9,160,0,0.0,0.03994045723881627,
gemma-2-27b-it-attn,Gemma 2,27.0,9,0.9,1.0,160,0,0.0,-0.02531923595735861,
gemma-3-4b-it-attn,Gemma 3,4.0,0,0.0,0.1,32,0,0.0,-0.007600621229323756,
gemma-3-4b-it-attn,Gemma 3,4.0,1,0.1,0.2,24,0,0.0,0.020064166462603228,
