run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,label,count,focus_score_mean,focus_score_std,focus_score_median,risk_score_mean,risk_score_std,risk_score_median,mean_instruction_mass_mean,mean_instruction_mass_std,mean_instruction_mass_median,mean_data_mass_mean,mean_data_mass_std,mean_data_mass_median,mean_ratio_mean,mean_ratio_std,mean_ratio_median,mean_normalized_instruction_ratio_mean,mean_normalized_instruction_ratio_std,mean_normalized_instruction_ratio_median,mean_entropy_mean,mean_entropy_std,mean_entropy_median
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,0,56,0.6197788256797052,0.1174140408148289,0.5870918234189352,0.3802211743202948,0.1174140408148289,0.4129081765810648,0.48936380073428154,0.020900788287414346,0.4848485291004181,0.24613089061209134,0.06330815421562153,0.2720177620649338,0.6306221570287432,0.059165420847173696,0.605058491230011,0.6306221570287432,0.059165420847173696,0.605058491230011,0.5018727193985667,0.03217677957756337,0.50731161236763
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,1,60,0.3325002938867935,0.1374357064731302,0.3281492586247623,0.6674997061132065,0.13743570647313016,0.6718507413752377,0.4494177117943764,0.028933249363464402,0.4454279839992523,0.31702864492932953,0.055300848719933605,0.3249296396970749,0.5583329369624456,0.05061307509407907,0.5528940856456757,0.5583329369624456,0.05061307509407907,0.5528940856456757,0.49315579831600187,0.03500791538251333,0.49722905457019806
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,0,56,0.6905486516927974,0.09265802724761586,0.6545933874117003,0.3094513483072025,0.09265802724761585,0.3454066125882997,0.5652250913637025,0.013654350926260227,0.5669272243976593,0.22238047075058734,0.04771290506924753,0.2415921539068222,0.6812365821429661,0.04061748645728691,0.6643960773944855,0.6812365821429661,0.04061748645728691,0.6643960773944855,0.45001322297113283,0.027056506915860187,0.4548042118549347
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,1,60,0.5135958083757604,0.1324832235437074,0.5001028259802196,0.4864041916242396,0.1324832235437074,0.49989717401978045,0.5386649047334989,0.021465417975993023,0.5405784547328949,0.27835466315348945,0.043857373197284555,0.28467513620853424,0.6300547033548355,0.03756328947307996,0.6286586821079254,0.6300547033548355,0.03756328947307996,0.6286586821079254,0.4389293725291888,0.028524858748876763,0.44085030257701874
qwen-phase2-qwen2.5-32b-seed0-phase2,qwen2.5-32b-attn,qwen2.5-32b,Qwen/Qwen2.5-32B,attn-hf-no-sys,Qwen,Qwen2.5,base,32.0,64,40,4bit,bfloat16,0,56,0.6950443477566246,0.09688942519704721,0.6753989678053629,0.3049556522433754,0.09688942519704721,0.32460103219463715,0.5772791185549327,0.016202074801772992,0.57778000831604,0.22347587985651834,0.05463800688253022,0.2428891509771347,0.6893083463822093,0.049856574750715435,0.6718854308128357,0.6893083463822093,0.049856574750715435,0.6718854308128357,0.43130069651774,0.022758471946556388,0.43486538529396057
qwen-phase2-qwen2.5-32b-seed0-phase2,qwen2.5-32b-attn,qwen2.5-32b,Qwen/Qwen2.5-32B,attn-hf-no-sys,Qwen,Qwen2.5,base,32.0,64,40,4bit,bfloat16,1,60,0.5418965427069149,0.10301772569758971,0.5388776519823641,0.45810345729308516,0.10301772569758971,0.4611223480176358,0.5399546295404434,0.021386494614256964,0.5382663905620575,0.2890131863454978,0.043981877232286776,0.29846295714378357,0.6254434237877528,0.0388872882395305,0.6182517409324646,0.6254434237877528,0.0388872882395305,0.6182517409324646,0.42847657601038613,0.02919843187865532,0.4320913702249527
qwen-phase2-qwen2.5-7b-instruct-seed0-phase2,qwen2.5-7b-instruct-attn,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,7.0,28,28,8bit,bfloat16,0,56,0.6654020930512897,0.12420607515487563,0.6348899719305336,0.33459790694871033,0.12420607515487563,0.36511002806946635,0.03291023798686053,0.004301829789939566,0.03214137442409992,0.14867173401372774,0.04810547939283496,0.15209434926509857,0.2695201717849289,0.08332378895445344,0.24166081100702286,0.2695201717849289,0.08332378895445344,0.24166081100702286,0.5093288118285793,0.02191288367236331,0.5133222341537476
qwen-phase2-qwen2.5-7b-instruct-seed0-phase2,qwen2.5-7b-instruct-attn,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,7.0,28,28,8bit,bfloat16,1,60,0.3415319389935753,0.1366303134392105,0.3722014554853862,0.658468061006425,0.1366303134392105,0.6277985445146138,0.026576322844872872,0.006943974480844261,0.026449785567820072,0.2263368730743726,0.04627904627368814,0.22027909010648727,0.1510141155992945,0.04975692744101379,0.15600671619176865,0.1510141155992945,0.04975692744101379,0.15600671619176865,0.5068213467796644,0.0317526305840283,0.5116069614887238
qwen-phase2-qwen2.5-14b-instruct-seed0-phase2,qwen2.5-14b-instruct-attn,qwen2.5-14b-instruct,Qwen/Qwen2.5-14B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,14.0,48,40,8bit,bfloat16,0,56,0.5717426243661281,0.12025343431661974,0.546337794268229,0.4282573756338719,0.12025343431661972,0.453662205731771,0.018014251703529487,0.003222233385524415,0.017908554524183273,0.14013632054307631,0.039466234198155155,0.1442495882511139,0.1931977921298572,0.06800967012203048,0.180295430123806,0.1931977921298572,0.06800967012203048,0.180295430123806,0.43990003051502363,0.01772055584812211,0.4406895190477371
qwen-phase2-qwen2.5-14b-instruct-seed0-phase2,qwen2.5-14b-instruct-attn,qwen2.5-14b-instruct,Qwen/Qwen2.5-14B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,14.0,48,40,8bit,bfloat16,1,60,0.2555259758350364,0.0949740229613198,0.24865202908595016,0.7444740241649636,0.09497402296131982,0.7513479709140498,0.014281189123479029,0.003423751531844546,0.014422495849430561,0.2012300164749225,0.04332379946529792,0.20636644959449768,0.10882755176474651,0.04369672336668181,0.1056862622499466,0.10882755176474651,0.04369672336668181,0.1056862622499466,0.4404413859049479,0.026018954291039346,0.4435747116804123
