model_a,model_b,display_model_a,display_model_b,family_a,family_b,generation_a,generation_b,variant_a,variant_b,params_b_a,params_b_b,same_shape,same_qwen25_size,selected_a,selected_b,exact_overlap,exact_jaccard,normalized_depth_density_cosine,normalized_depth_bin_jaccard,signature_cosine
qwen2.5-7b-attn,qwen2.5-14b-attn,qwen2.5-7b,qwen2.5-14b,Qwen,Qwen,Qwen2.5,Qwen2.5,base,base,7.0,14.0,False,False,6,9,,,0.8588755018677745,0.14285714285714285,0.7157785137046434
qwen2.5-7b-attn,qwen2.5-32b-attn,qwen2.5-7b,qwen2.5-32b,Qwen,Qwen,Qwen2.5,Qwen2.5,base,base,7.0,32.0,False,False,6,21,,,0.2548886475709155,0.2857142857142857,0.6687976728877655
qwen2.5-7b-attn,qwen2.5-7b-instruct-attn,qwen2.5-7b,qwen2.5-7b-instruct,Qwen,Qwen,Qwen2.5,Qwen2.5,base,instruct,7.0,7.0,True,True,6,24,4.0,0.15384615384615385,0.41640649388658973,0.5,-0.1496729957033788
qwen2.5-7b-attn,qwen2.5-14b-instruct-attn,qwen2.5-7b,qwen2.5-14b-instruct,Qwen,Qwen,Qwen2.5,Qwen2.5,base,instruct,7.0,14.0,False,False,6,61,,,0.3480652066885967,0.2857142857142857,-0.13249013262596337
qwen2.5-7b-attn,qwen2.5-32b-instruct-attn,qwen2.5-7b,qwen2.5-32b-instruct,Qwen,Qwen,Qwen2.5,Qwen2.5,base,instruct,7.0,32.0,False,False,6,115,,,0.6139870852483489,0.375,-0.31296835703230513
qwen2.5-7b-attn,qwen2.5-coder-7b-instruct-attn,qwen2.5-7b,qwen2.5-coder-7b-instruct,Qwen,Qwen,Qwen2.5,Qwen2.5,base,coder-instruct,7.0,7.0,True,True,6,28,3.0,0.0967741935483871,0.2733740065562565,0.5,-0.039809998667603465
qwen2.5-7b-attn,qwen2.5-coder-14b-instruct-attn,qwen2.5-7b,qwen2.5-coder-14b-instruct,Qwen,Qwen,Qwen2.5,Qwen2.5,base,coder-instruct,7.0,14.0,False,False,6,46,,,0.7455277309335842,0.2857142857142857,0.00639462763254889
qwen2.5-7b-attn,qwen2.5-coder-32b-instruct-attn,qwen2.5-7b,qwen2.5-coder-32b-instruct,Qwen,Qwen,Qwen2.5,Qwen2.5,base,coder-instruct,7.0,32.0,False,False,6,118,,,0.5236759266034413,0.375,-0.18742211033978953
qwen2.5-7b-attn,qwen3-8b-attn,qwen2.5-7b,qwen3-8b,Qwen,Qwen,Qwen2.5,Qwen3,base,base,7.0,8.0,False,False,6,40,,,0.764153770065401,0.3333333333333333,-0.27815556214296255
qwen2.5-7b-attn,qwen3-14b-attn,qwen2.5-7b,qwen3-14b,Qwen,Qwen,Qwen2.5,Qwen3,base,base,7.0,14.0,False,False,6,63,,,0.6692986021550433,0.5,-0.23659347653135346
qwen2.5-7b-attn,qwen3-32b-attn,qwen2.5-7b,qwen3-32b,Qwen,Qwen,Qwen2.5,Qwen3,base,base,7.0,32.0,False,False,6,36,,,0.2516098041413563,0.42857142857142855,0.034656206957245195
qwen2.5-7b-attn,gemma-2-9b-it-attn,qwen2.5-7b,gemma-2-9b-it,Qwen,Gemma,Qwen2.5,Gemma2,base,it,7.0,9.0,False,False,6,24,,,0.7221853807284742,0.5,-0.2598516977480748
qwen2.5-7b-attn,gemma-2-27b-it-attn,qwen2.5-7b,gemma-2-27b-it,Qwen,Gemma,Qwen2.5,Gemma2,base,it,7.0,27.0,False,False,6,53,,,0.3452564751677816,0.2857142857142857,-0.4127497849329157
qwen2.5-7b-attn,gemma-3-4b-it-attn,qwen2.5-7b,gemma-3-4b-it,Qwen,Gemma,Qwen2.5,Gemma3,base,it,7.0,4.0,False,False,6,17,,,0.36529935301692645,0.2857142857142857,-0.5649210001958682
