run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,num_samples,auc,auprc,fpr,fnr,tp,fp,tn,fn,mean_focus_benign,mean_focus_attack,mean_risk_benign,mean_risk_attack,risk_delta_attack_minus_benign,risk_cohens_d,selected_heads,selected_fraction,selected_depth_mean,early_fraction,mid_fraction,late_fraction,margin_mean_all,margin_mean_selected
gemma-phase2-gemma-2-9b-it-seed0-phase2,gemma-2-9b-it-attn,gemma-2-9b-it,google/gemma-2-9b-it,attn-hf-no-sys,Gemma,Gemma2,it,9.0,42,16,8bit,bfloat16,116,0.988095238095238,0.989695396458648,0.5892857142857143,0.0,60,33,23,0,0.5299146573025999,0.15650119680231,0.47008534269740004,0.84349880319769,0.37341346050028995,1.5988305459896421,24,0.03571428571428571,0.46138211382113825,0.16666666666666666,0.7916666666666666,0.041666666666666664,0.07049587026702431,0.4285024017900327
gemma-phase2-gemma-2-27b-it-seed0-phase2,gemma-2-27b-it-attn,gemma-2-27b-it,google/gemma-2-27b-it,attn-hf-no-sys,Gemma,Gemma2,it,27.0,46,32,4bit,bfloat16,116,0.9895833333333334,0.990742057350413,0.23214285714285715,0.0,60,13,43,0,0.6241190356301738,0.16725852194895233,0.3758809643698262,0.8327414780510477,0.4568605136812215,1.679187278839057,53,0.036005434782608696,0.40000000000000013,0.18867924528301888,0.8113207547169812,0.0,0.04063485296716265,0.4684210581943311
gemma-phase2-gemma-3-4b-it-seed0-phase2,gemma-3-4b-it-attn,gemma-3-4b-it,google/gemma-3-4b-it,attn-hf-no-sys,Gemma,Gemma3,it,4.0,34,8,8bit,bfloat16,116,0.9842261904761905,0.9865572242532036,0.7142857142857143,0.0,60,40,16,0,0.4392133240261264,0.12012701484602396,0.5607866759738737,0.879872985153976,0.3190863091801024,1.5015666544512447,17,0.0625,0.43137254901960786,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.11157276843754747,0.4296136268462205
gemma-phase2-gemma-3-12b-it-seed0-phase2,gemma-3-12b-it-attn,gemma-3-12b-it,google/gemma-3-12b-it,attn-hf-no-sys,Gemma,Gemma3,it,12.0,48,16,8bit,bfloat16,116,0.9794642857142858,0.9849440877491195,0.44642857142857145,0.0,60,25,31,0,0.5540178260632923,0.19079915665871036,0.44598217393670764,0.8092008433412899,0.3632186694045823,1.5930578517527976,25,0.032552083333333336,0.5072340425531915,0.24,0.56,0.2,0.05444425025868934,0.43191515071567255
gemma-phase2-gemma-3-27b-it-seed0-phase2,gemma-3-27b-it-attn,gemma-3-27b-it,google/gemma-3-27b-it,attn-hf-no-sys,Gemma,Gemma3,it,27.0,62,32,4bit,bfloat16,116,0.9821428571428572,0.9843496089888063,0.125,0.05,57,7,49,3,0.6985366426258687,0.26805402272340456,0.3014633573741313,0.7319459772765953,0.43048261990246395,1.6972416929162577,43,0.021673387096774195,0.36637438048036597,0.32558139534883723,0.6744186046511628,0.0,0.01786743057380025,0.3907303399869663
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,116,0.9330357142857143,0.9454148792446863,0.125,0.13333333333333333,52,7,49,8,0.6197788256797052,0.3325002938867935,0.3802211743202948,0.6674997061132065,0.28727853179291174,1.4928244939847415,6,0.007653061224489796,0.5740740740740741,0.0,0.8333333333333334,0.16666666666666666,-0.09702777902956895,0.48615170944408614
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,116,0.8636904761904762,0.9105013180352407,0.0,0.5,30,0,56,30,0.6905486516927974,0.5135958083757604,0.3094513483072025,0.4864041916242396,0.1769528433170371,1.2198708534109677,9,0.0046875,0.4373522458628842,0.3333333333333333,0.6666666666666666,0.0,-0.09370311783859489,0.3704215644542052
qwen-phase2-qwen2.5-32b-seed0-phase2,qwen2.5-32b-attn,qwen2.5-32b,Qwen/Qwen2.5-32B,attn-hf-no-sys,Qwen,Qwen2.5,base,32.0,64,40,4bit,bfloat16,116,0.8622023809523809,0.8919678352611015,0.0,0.6666666666666666,20,0,56,40,0.6950443477566246,0.5418965427069149,0.3049556522433754,0.45810345729308516,0.15314780504970976,1.2153891477133494,21,0.008203125,0.3862433862433862,0.23809523809523808,0.7619047619047619,0.0,-0.11211460163610838,0.4175575810412779
qwen-phase2-qwen2.5-coder-7b-instruct-seed0-phase2,qwen2.5-coder-7b-instruct-attn,qwen2.5-coder-7b-instruct,Qwen/Qwen2.5-Coder-7B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,7.0,28,28,8bit,bfloat16,116,0.9901785714285715,0.9922551942520649,0.19642857142857142,0.016666666666666666,59,11,45,1,0.6263395081053259,0.2260604911642336,0.373660491894674,0.7739395088357663,0.40027901694109236,1.728694637401709,28,0.03571428571428571,0.44841269841269843,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.012490067559333127,0.5435183938393415
qwen-phase2-qwen2.5-coder-14b-instruct-seed0-phase2,qwen2.5-coder-14b-instruct-attn,qwen2.5-coder-14b-instruct,Qwen/Qwen2.5-Coder-14B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,14.0,48,40,8bit,bfloat16,116,0.987797619047619,0.9896881865652226,0.6785714285714286,0.0,60,38,18,0,0.46386479467615593,0.13763436583331382,0.5361352053238441,0.8623656341666862,0.32623042884284215,1.4645828859560877,46,0.023958333333333335,0.45097132284921354,0.17391304347826086,0.8260869565217391,0.0,-0.006589793169470139,0.5446167977037387
