model,qwen2.5-7b-attn,qwen2.5-14b-attn,qwen2.5-32b-attn,qwen2.5-7b-instruct-attn,qwen2.5-14b-instruct-attn,qwen2.5-32b-instruct-attn,qwen2.5-coder-7b-instruct-attn,qwen2.5-coder-14b-instruct-attn,qwen2.5-coder-32b-instruct-attn,qwen3-8b-attn,qwen3-14b-attn,qwen3-32b-attn,gemma-2-9b-it-attn,gemma-2-27b-it-attn,gemma-3-4b-it-attn,gemma-3-12b-it-attn,gemma-3-27b-it-attn
qwen2.5-7b-attn,1.0,0.7157785137046434,0.6687976728877655,-0.1496729957033788,-0.13249013262596337,-0.31296835703230513,-0.039809998667603465,0.00639462763254889,-0.18742211033978953,-0.27815556214296255,-0.23659347653135346,0.034656206957245195,-0.2598516977480748,-0.4127497849329157,-0.5649210001958682,-0.4700756853307145,-0.23824747547529512
qwen2.5-14b-attn,0.7157785137046434,1.0,0.7702791385620978,-0.17850649062137097,0.16539569503782287,-0.29256992216967836,-0.1722159232546604,0.2914124122689088,-0.1702618016080198,-0.1580084877794496,-0.31690878404932166,0.12438788732260792,-0.5520910453330238,-0.45689076224725256,-0.5953136827047969,-0.5969476041185107,-0.3197647269557589
qwen2.5-32b-attn,0.6687976728877655,0.7702791385620978,1.0,-0.20676062469524265,-0.06726416020794297,-0.14566293541248349,-0.21292080740194733,0.01830021977609535,-0.1249001149339423,-0.4477718526352771,-0.3689527102842489,0.20267863129440086,-0.3823780413424495,-0.41372221794305525,-0.4431580392384051,-0.5736955760133134,-0.31476044408487897
qwen2.5-7b-instruct-attn,-0.1496729957033788,-0.17850649062137097,-0.20676062469524265,1.0,0.5552063454423002,0.5246472442841652,0.11908121093790175,-0.02007643307829893,0.057703398029088575,0.1770294798646323,0.29284522539279023,0.1501872503584299,-0.3392205271707668,-0.48875756343659427,-0.1379853904056983,-0.29317657333780595,-0.36102085376410953
qwen2.5-14b-instruct-attn,-0.13249013262596337,0.16539569503782287,-0.06726416020794297,0.5552063454423002,1.0,0.3432850959627527,-0.17634134661036882,0.32229563323215404,-0.19416002351378892,0.2053773450155128,0.005782134498818626,0.003372081768277081,-0.5846888570580231,-0.39392966287871767,-0.11593077825957908,-0.2958823451531272,-0.17845345510814778
qwen2.5-32b-instruct-attn,-0.31296835703230513,-0.29256992216967836,-0.14566293541248349,0.5246472442841652,0.3432850959627527,1.0,-0.20699129618388798,-0.14228838602775806,0.32210193750510135,0.06367874623098378,0.15849134763439346,0.312098166609866,-0.11915515615989439,-0.458811680039525,-0.047470034582916605,-0.17124295986914118,-0.3372669296310216
qwen2.5-coder-7b-instruct-attn,-0.039809998667603465,-0.1722159232546604,-0.21292080740194733,0.11908121093790175,-0.17634134661036882,-0.20699129618388798,1.0,0.20452017690887633,-0.09597523515402755,-0.18735390519372494,-0.015189055062091871,-0.3567546989044354,0.18956684638812601,0.17554902659333146,0.1785781222692475,-0.015922219058570126,-0.08638542578143096
qwen2.5-coder-14b-instruct-attn,0.00639462763254889,0.2914124122689088,0.01830021977609535,-0.02007643307829893,0.32229563323215404,-0.14228838602775806,0.20452017690887633,1.0,-0.09253107726152858,0.11780637229792114,-0.0706171318040275,-0.12389462850959443,-0.3922282653111483,-0.10111476264244999,-0.15704556945015408,-0.2300114244851634,-0.19232505897184576
qwen2.5-coder-32b-instruct-attn,-0.18742211033978953,-0.1702618016080198,-0.1249001149339423,0.057703398029088575,-0.19416002351378892,0.32210193750510135,-0.09597523515402755,-0.09253107726152858,1.0,0.05678349208126467,0.040992047396620414,0.13866948893731007,-0.15470238841843414,-0.14710870241939686,-0.050387096110491414,0.11342324924445887,-0.21379942916100145
qwen3-8b-attn,-0.27815556214296255,-0.1580084877794496,-0.4477718526352771,0.1770294798646323,0.2053773450155128,0.06367874623098378,-0.18735390519372494,0.11780637229792114,0.05678349208126467,1.0,0.6059441528967375,0.061387416392956765,-0.1487273176092716,-0.09462275474908123,-0.08843470942789511,-0.029044321157986743,-0.0692515017456682
qwen3-14b-attn,-0.23659347653135346,-0.31690878404932166,-0.3689527102842489,0.29284522539279023,0.005782134498818626,0.15849134763439346,-0.015189055062091871,-0.0706171318040275,0.040992047396620414,0.6059441528967375,1.0,0.08996835158925723,0.06691747252887979,-0.11847415565426904,-0.09540151171273215,-0.16781256389890728,-0.1494252372833431
qwen3-32b-attn,0.034656206957245195,0.12438788732260792,0.20267863129440086,0.1501872503584299,0.003372081768277081,0.312098166609866,-0.3567546989044354,-0.12389462850959443,0.13866948893731007,0.061387416392956765,0.08996835158925723,1.0,-0.34526057401201077,-0.3689943073993112,-0.459499611332662,-0.3290921821578008,-0.19176564882323363
gemma-2-9b-it-attn,-0.2598516977480748,-0.5520910453330238,-0.3823780413424495,-0.3392205271707668,-0.5846888570580231,-0.11915515615989439,0.18956684638812601,-0.3922282653111483,-0.15470238841843414,-0.1487273176092716,0.06691747252887979,-0.34526057401201077,1.0,0.5604569923479464,0.4989927596711891,0.5992382372916638,0.3027831390538482
gemma-2-27b-it-attn,-0.4127497849329157,-0.45689076224725256,-0.41372221794305525,-0.48875756343659427,-0.39392966287871767,-0.458811680039525,0.17554902659333146,-0.10111476264244999,-0.14710870241939686,-0.09462275474908123,-0.11847415565426904,-0.3689943073993112,0.5604569923479464,1.0,0.4914002281004305,0.5987700125100452,0.6289964814960551
gemma-3-4b-it-attn,-0.5649210001958682,-0.5953136827047969,-0.4431580392384051,-0.1379853904056983,-0.11593077825957908,-0.047470034582916605,0.1785781222692475,-0.15704556945015408,-0.050387096110491414,-0.08843470942789511,-0.09540151171273215,-0.459499611332662,0.4989927596711891,0.4914002281004305,1.0,0.5673054456779125,0.1568157680678003
gemma-3-12b-it-attn,-0.4700756853307145,-0.5969476041185107,-0.5736955760133134,-0.29317657333780595,-0.2958823451531272,-0.17124295986914118,-0.015922219058570126,-0.2300114244851634,0.11342324924445887,-0.029044321157986743,-0.16781256389890728,-0.3290921821578008,0.5992382372916638,0.5987700125100452,0.5673054456779125,1.0,0.5263765799772959
gemma-3-27b-it-attn,-0.23824747547529512,-0.3197647269557589,-0.31476044408487897,-0.36102085376410953,-0.17845345510814778,-0.3372669296310216,-0.08638542578143096,-0.19232505897184576,-0.21379942916100145,-0.0692515017456682,-0.1494252372833431,-0.19176564882323363,0.3027831390538482,0.6289964814960551,0.1568157680678003,0.5263765799772959,1.0
