model,qwen2.5-7b-attn,qwen2.5-14b-attn,qwen2.5-32b-attn,qwen2.5-7b-instruct-attn,qwen2.5-14b-instruct-attn,qwen2.5-32b-instruct-attn,qwen2.5-coder-7b-instruct-attn,qwen2.5-coder-14b-instruct-attn,qwen2.5-coder-32b-instruct-attn,qwen3-8b-attn,qwen3-14b-attn,qwen3-32b-attn,gemma-2-9b-it-attn,gemma-2-27b-it-attn,gemma-3-4b-it-attn,gemma-3-12b-it-attn,gemma-3-27b-it-attn
qwen2.5-7b-attn,1.0,0.865819262139051,0.8408583837143516,0.8845226419303609,0.8934762404988094,0.8751915214200077,0.8863239041116339,0.8367344195041636,0.8317725632489467,0.8697534757215859,0.8771742098558918,0.8403721257351217,0.8495712588855326,0.8633612224079495,0.8336497415808267,0.8274236930452864,0.8604708670633644
qwen2.5-14b-attn,0.865819262139051,1.0,0.8893874839230547,0.8458170205339118,0.8508147040788563,0.8284272511793707,0.8177889019593371,0.8111284620045291,0.8303024886765783,0.8283329795101867,0.8251428222370678,0.7726074764574385,0.8059877947758105,0.8120881916931815,0.8041981689170496,0.7816638168911965,0.8088523211076726
qwen2.5-32b-attn,0.8408583837143516,0.8893874839230547,1.0,0.7849587075387537,0.8129201186135294,0.7947613199860487,0.7782462789584559,0.8105592222786919,0.7775850728107294,0.7710882433610187,0.7966905300884256,0.7561775831703355,0.7817512909102436,0.7761891818644735,0.7949776704472121,0.7734658597685353,0.737786244694372
qwen2.5-7b-instruct-attn,0.8845226419303609,0.8458170205339118,0.7849587075387537,1.0,0.9408102392745286,0.9312918646548441,0.941525614849229,0.8912800732920819,0.9002103913760123,0.9321298573193735,0.9204596471112927,0.9179271897356517,0.88415605266359,0.8977151282140722,0.8683336482826615,0.8685780627509643,0.8867998721849942
qwen2.5-14b-instruct-attn,0.8934762404988094,0.8508147040788563,0.8129201186135294,0.9408102392745286,1.0,0.9779808994038247,0.9703172052198001,0.9313272540119011,0.9126439395342917,0.9609357797199506,0.9588864575470617,0.9512558697112679,0.9355620849504762,0.9511076800757334,0.9192316118416912,0.8959265814401567,0.9420638019161017
qwen2.5-32b-instruct-attn,0.8751915214200077,0.8284272511793707,0.7947613199860487,0.9312918646548441,0.9779808994038247,1.0,0.9663388986005046,0.9364150490184976,0.9314710234734083,0.9679335734732223,0.9618242425401562,0.9526616397348014,0.943196590709727,0.9656548185336542,0.9343660826885708,0.9204268200174691,0.9474531288779627
qwen2.5-coder-7b-instruct-attn,0.8863239041116339,0.8177889019593371,0.7782462789584559,0.941525614849229,0.9703172052198001,0.9663388986005046,1.0,0.9191516127325946,0.9071634933359477,0.9451290859290077,0.9555364764997922,0.9594308475711785,0.9383699239056282,0.9597416420409915,0.9119506797345216,0.9039325515988373,0.9552500101876951
qwen2.5-coder-14b-instruct-attn,0.8367344195041636,0.8111284620045291,0.8105592222786919,0.8912800732920819,0.9313272540119011,0.9364150490184976,0.9191516127325946,1.0,0.9468592684415303,0.918339639582587,0.9124916944098445,0.8911321722373229,0.958889499648037,0.9393673525202062,0.9651182065752999,0.9323115790179858,0.8895578900173756
qwen2.5-coder-32b-instruct-attn,0.8317725632489467,0.8303024886765783,0.7775850728107294,0.9002103913760123,0.9126439395342917,0.9314710234734083,0.9071634933359477,0.9468592684415303,1.0,0.9223779040458102,0.9037080821231119,0.8771622405380883,0.9308178410316839,0.9346288180998612,0.9330433989241338,0.9076640626824442,0.8840126343153658
qwen3-8b-attn,0.8697534757215859,0.8283329795101867,0.7710882433610187,0.9321298573193735,0.9609357797199506,0.9679335734732223,0.9451290859290077,0.918339639582587,0.9223779040458102,1.0,0.9679286747114743,0.946719581537602,0.9390510234677311,0.9562294773284282,0.9236773865965409,0.9048583631474406,0.9447657250384925
