model,model_group,params_b,label,count,mean_instruction_mass_mean,mean_instruction_mass_std,mean_instruction_mass_median,mean_data_mass_mean,mean_data_mass_std,mean_data_mass_median,mean_ratio_mean,mean_ratio_std,mean_ratio_median,mean_normalized_instruction_ratio_mean,mean_normalized_instruction_ratio_std,mean_normalized_instruction_ratio_median,mean_entropy_mean,mean_entropy_std,mean_entropy_median
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,0,56,0.03291023798686053,0.004301829789939566,0.03214137442409992,0.14867173401372774,0.04810547939283496,0.15209434926509857,0.2695201717849289,0.08332378895445344,0.24166081100702286,0.2695201717849289,0.08332378895445344,0.24166081100702286,0.5093288118285793,0.02191288367236331,0.5133222341537476
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,1,60,0.026576322844872872,0.006943974480844261,0.026449785567820072,0.2263368730743726,0.04627904627368814,0.22027909010648727,0.1510141155992945,0.04975692744101379,0.15600671619176865,0.1510141155992945,0.04975692744101379,0.15600671619176865,0.5068213467796644,0.0317526305840283,0.5116069614887238
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,0,56,0.018014251703529487,0.003222233385524415,0.017908554524183273,0.14013632054307631,0.039466234198155155,0.1442495882511139,0.1931977921298572,0.06800967012203048,0.180295430123806,0.1931977921298572,0.06800967012203048,0.180295430123806,0.43990003051502363,0.01772055584812211,0.4406895190477371
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,1,60,0.014281189123479029,0.003423751531844546,0.014422495849430561,0.2012300164749225,0.04332379946529792,0.20636644959449768,0.10882755176474651,0.04369672336668181,0.1056862622499466,0.10882755176474651,0.04369672336668181,0.1056862622499466,0.4404413859049479,0.026018954291039346,0.4435747116804123
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,0,56,0.02347558693561171,0.003974153033532596,0.023094240576028824,0.12291679185416017,0.041436774203693294,0.12684408575296402,0.25363147178930895,0.08754307541221783,0.23007782548666,0.25363147178930895,0.08754307541221783,0.23007782548666,0.41157945511596544,0.016368388083431967,0.41176706552505493
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,1,60,0.01667809720772008,0.004071417282273827,0.01664071064442396,0.19634387443463008,0.040719634440138396,0.19807732850313187,0.1275279954696695,0.04773816631631601,0.12503370270133018,0.1275279954696695,0.04773816631631601,0.12503370270133018,0.4159590835372607,0.021808413829236185,0.41411663591861725
qwen2.5-coder-7b-instruct-attn,Qwen2.5-Coder,7.0,0,56,0.0433988788032106,0.007601305471094693,0.04350512474775314,0.20338142170969928,0.059561585700594694,0.2138681337237358,0.24677961532558715,0.08272698645711864,0.2226935774087906,0.24677961532558715,0.08272698645711864,0.2226935774087906,0.6869492488248008,0.020838324618773357,0.691886693239212
qwen2.5-coder-7b-instruct-attn,Qwen2.5-Coder,7.0,1,60,0.029298147031416494,0.007502431240928673,0.029393455013632774,0.3077654535571734,0.05477499791459108,0.3112344741821289,0.12666242998093366,0.05070123614967358,0.12444249540567398,0.12666242998093366,0.05070123614967358,0.12444249540567398,0.6604931046565373,0.03252439414167394,0.6650111973285675
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,0,56,0.03496640707765307,0.010305397646697334,0.03251153975725174,0.1565610444439309,0.0491691611584554,0.162883423268795,0.2291696368317519,0.09098938875620673,0.1934061124920845,0.2291696368317519,0.09098938875620673,0.1934061124920845,0.5755573873009,0.024853238648779065,0.5801862478256226
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,1,60,0.026076666188115875,0.008642821168200652,0.024392087943851948,0.22995267796019714,0.042985584069982576,0.23239797353744507,0.12793449287613232,0.05098340455070809,0.12328722700476646,0.12793449287613232,0.05098340455070809,0.12328722700476646,0.5535410513480504,0.03041768287808839,0.5597960352897644
