model,model_group,params_b,depth_bin,depth_start,depth_end,heads_in_bin,selected_heads,selected_density,margin_mean_all,margin_mean_selected
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,0,0.0,0.1,84,0,0.0,-0.06516852806412003,
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,1,0.1,0.2,84,0,0.0,-0.029482738818358074,
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,2,0.2,0.3,84,0,0.0,0.01947422135477105,
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,3,0.3,0.4,56,5,0.08928571428571429,0.10733804635229423,0.5183229050145204
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,4,0.4,0.5,84,11,0.13095238095238096,0.14279651778909871,0.5456221818023193
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,5,0.5,0.6,84,3,0.03571428571428571,0.06706689509406225,0.6453281409406437
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,6,0.6,0.7,56,2,0.03571428571428571,0.08066206933713348,0.44784245180175986
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,7,0.7,0.8,84,2,0.023809523809523808,0.08192128461050849,0.7429667812948446
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,8,0.8,0.9,84,1,0.011904761904761904,-0.015584634320747722,0.4439508557250235
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,9,0.9,1.0,84,0,0.0,-0.06245081773544263,
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,0,0.0,0.1,200,0,0.0,-0.04862054114687618,
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,1,0.1,0.2,200,3,0.015,0.01755481157934431,0.43132000466632386
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,2,0.2,0.3,200,7,0.035,0.028604760654366426,0.40603293518820155
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,3,0.3,0.4,160,15,0.09375,0.11520121542351232,0.4757851081702859
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,4,0.4,0.5,200,29,0.145,0.11378896608184685,0.4253540990399788
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,5,0.5,0.6,200,6,0.03,0.07605190581955625,0.5607877317381739
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,6,0.6,0.7,160,1,0.00625,0.0257469186619712,0.5651141854118378
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,7,0.7,0.8,200,0,0.0,-0.037588303231441716,
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,8,0.8,0.9,200,0,0.0,-0.027015687108655463,
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,9,0.9,1.0,200,0,0.0,-0.052694517518756714,
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,0,0.0,0.1,280,0,0.0,-0.05205939732478212,
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,1,0.1,0.2,240,2,0.008333333333333333,-0.007501649427149348,0.47946734865535634
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,2,0.2,0.3,240,10,0.041666666666666664,0.0392140014004498,0.5062087982503416
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,3,0.3,0.4,280,17,0.060714285714285714,0.0942658510574997,0.5521372012147808
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,4,0.4,0.5,240,29,0.12083333333333333,0.14585852336649222,0.5854226166290174
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,5,0.5,0.6,240,20,0.08333333333333333,0.08719838832221118,0.554443226257826
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,6,0.6,0.7,280,23,0.08214285714285714,0.11812330036080682,0.568861059302579
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,7,0.7,0.8,240,9,0.0375,0.09402419655277079,0.6113259241312152
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,8,0.8,0.9,240,5,0.020833333333333332,0.054655608579885905,0.5460293814003079
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,9,0.9,1.0,280,0,0.0,-0.018230232954474825,
qwen2.5-coder-7b-instruct-attn,Qwen2.5-Coder,7.0,0,0.0,0.1,84,0,0.0,-0.06323631921556899,
qwen2.5-coder-7b-instruct-attn,Qwen2.5-Coder,7.0,1,0.1,0.2,84,0,0.0,-0.01830591656761011,
qwen2.5-coder-7b-instruct-attn,Qwen2.5-Coder,7.0,2,0.2,0.3,84,2,0.023809523809523808,0.028539551408317994,0.40922183444522897
qwen2.5-coder-7b-instruct-attn,Qwen2.5-Coder,7.0,3,0.3,0.4,56,12,0.21428571428571427,0.17788192757325336,0.5412756535168614
