model,model_group,params_b,label,count,focus_mean,focus_std,focus_median,focus_min,focus_p25,focus_p75,focus_max
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,0,56,0.6654020930512897,0.12420607515487563,0.6348899719305336,0.4630733076483011,0.5729019949988773,0.7503387536853552,0.9005932460228602
qwen2.5-7b-instruct-attn,Qwen2.5,7.0,1,60,0.3415319389935753,0.1366303134392105,0.3722014554853862,0.045134615430773316,0.23110230521706399,0.44535595803366357,0.6124125203350559
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,0,56,0.5717426243661281,0.12025343431661974,0.546337794268229,0.3740236459330457,0.49750197881863256,0.6236207805818221,0.8135174532405666
qwen2.5-14b-instruct-attn,Qwen2.5,14.0,1,60,0.2555259758350364,0.0949740229613198,0.24865202908595016,0.04170610730609757,0.20513584306673527,0.3176477545582247,0.4715785846480581
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,0,56,0.5587215899425783,0.13631000306949523,0.5158014622658653,0.3521903542558784,0.45831000189013454,0.6565702978278632,0.8358543380447055
qwen2.5-32b-instruct-attn,Qwen2.5,32.0,1,60,0.2162654474910224,0.09610590402532945,0.2016580301641269,0.022997706008754903,0.1402554919578783,0.28465361929439775,0.44956991543345476
qwen2.5-coder-7b-instruct-attn,Qwen2.5-Coder,7.0,0,56,0.6263395081053259,0.13005247729567684,0.6211685357349259,0.36965149813996895,0.526993193996272,0.7337790264614991,0.8408161923289299
qwen2.5-coder-7b-instruct-attn,Qwen2.5-Coder,7.0,1,60,0.2260604911642336,0.10257232593710744,0.2119348036420498,0.041749455761289155,0.15010974389172457,0.29289419656769106,0.5748720296791622
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,0,56,0.46386479467615593,0.20899271615894122,0.3720392423438961,0.2181877540424466,0.30738427746109664,0.6518444071483354,0.8438864635384601
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,1,60,0.13763436583331382,0.061480115365892395,0.12724088557550442,0.01913872523278848,0.10078329194853405,0.17351900638174772,0.2914334046047019
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,0,56,0.5638174385622917,0.1941682635168263,0.4845551183581415,0.3044787826513777,0.40127964553810946,0.7487053590653054,0.8798368426702791
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,1,60,0.23713720082930398,0.11188316624771352,0.2295691589997505,0.024173282935731486,0.15236621413645232,0.30375367055779057,0.5767559786406109
qwen3-8b-attn,Qwen3,8.0,0,56,0.6287270162899014,0.14704996352030775,0.5942246377468109,0.35409298203885553,0.5234424913767726,0.724294651672244,0.9180894806981087
qwen3-8b-attn,Qwen3,8.0,1,60,0.2414705903122551,0.11915242208090497,0.22252369879570325,0.015094865196442698,0.1769376303316676,0.32482693638885396,0.5921007435768842
qwen3-14b-attn,Qwen3,14.0,0,56,0.6746818729496271,0.1294004100209629,0.6355705121679911,0.4738374651660995,0.5740307544077199,0.750865619341355,0.9427040777509175
qwen3-14b-attn,Qwen3,14.0,1,60,0.2483187610836621,0.1085538602132889,0.253725320252309,0.03575445020697006,0.17793410405145205,0.3233511726933694,0.48525482868509634
qwen3-32b-attn,Qwen3,32.0,0,56,0.73984644873186,0.12630498256556785,0.6994842001650896,0.5300310904470583,0.650020251619733,0.8715034299012687,0.9583422152532471
qwen3-32b-attn,Qwen3,32.0,1,60,0.21946700898600927,0.12341513313582278,0.1906058436628276,0.025994478527738667,0.12996969522808083,0.3102209110004171,0.5361377416799465
